external_id,team,team_status,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,BK Häcken,home,Tobias Heintz,Alexander Faltsetas,51,50,37.0,56.0,0,3,pass accurate,,-0.0039105920314679715,0.8821105643271655,1,False,False,False,nan,nan,nan,,nan
1,BK Häcken,home,Alexander Faltsetas,Godswill Ekpolo,37,52,40.0,9.0,1,4,pass accurate,,-0.002111618395745028,0.7720459593436247,1,False,False,False,nan,nan,nan,,nan
2,BK Häcken,home,Godswill Ekpolo,Joona Toivio,41,7,27.0,25.0,7,10,pass accurate,,0.0006341390131263652,0.9060218968868815,1,False,False,False,nan,nan,nan,,nan
3,BK Häcken,home,Joona Toivio,Johan Hammar,25,29,25.0,68.0,10,13,pass accurate,,-0.00039776366689430603,0.8953344116097621,1,False,False,False,nan,nan,nan,,nan
4,BK Häcken,home,Johan Hammar,Joona Toivio,31,63,31.0,33.0,15,18,pass accurate,,0.00039776366689430603,0.8670014399298812,1,False,False,False,nan,nan,nan,,nan
5,BK Häcken,home,Godswill Ekpolo,,79,12,,,17,42,final third entry,,,,1,False,False,False,nan,nan,nan,,nan
6,BK Häcken,home,Joona Toivio,Godswill Ekpolo,36,26,62.0,7.0,18,21,pass accurate,,0.004459352977319225,0.6807444077009218,1,False,False,False,nan,nan,nan,,nan
7,BK Häcken,home,Leo Bengtsson,,89,63,,,18,28,penalty box entry successful,,,,1,False,False,False,nan,nan,nan,,nan
8,BK Häcken,home,Godswill Ekpolo,Patrik Wålemark,62,6,74.0,22.0,20,23,pass accurate,,0.007775739183648704,0.6262256830346373,1,False,False,False,nan,nan,nan,,nan
9,Örebro,away,Johan Mårtensson,,29,82,,,21,26,interception unsuccesful,,,,1,False,False,False,nan,nan,nan,,nan
10,Örebro,away,Johan Mårtensson,,29,82,,,21,26,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
11,Örebro,away,Andreas Skovgaard Larsen,,21,74,,,22,27,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
12,Örebro,away,Andreas Skovgaard Larsen,,21,74,,,22,27,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,home,Godswill Ekpolo,Leo Bengtsson,89,10,93.0,53.0,26,29,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
14,BK Häcken,home,Godswill Ekpolo,Leo Bengtsson,89,10,93.0,53.0,26,29,pass accurate,,0.21817480867702227,0.413235188862422,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,home,Godswill Ekpolo,Leo Bengtsson,89,10,93.0,53.0,26,29,key pass,,,0.413235188862422,1,False,False,False,nan,nan,nan,,nan
16,BK Häcken,home,Godswill Ekpolo,Leo Bengtsson,90,11,93.0,56.0,26,29,pass into the box,,,,1,False,False,False,nan,nan,nan,,nan
17,BK Häcken,home,Godswill Ekpolo,Leo Bengtsson,90,11,93.0,56.0,26,29,pass accurate,,0.21817480867702227,0.413235188862422,1,False,False,False,nan,nan,nan,,nan
18,BK Häcken,home,Godswill Ekpolo,Leo Bengtsson,90,11,93.0,56.0,26,29,cross accurate,,,0.413235188862422,1,False,False,False,nan,nan,nan,,nan
19,BK Häcken,home,Leo Bengtsson,,93,52,,,28,31,wide shot,0.2192983078085868,,,1,False,False,False,nan,nan,nan,True,nan
20,Örebro,away,Bobby Allain,,7,48,,,28,31,goalkeeper wide shot,,,,1,False,False,False,nan,nan,nan,,nan
21,BK Häcken,home,Leo Bengtsson,,93,52,,,28,31,shot,0.2192983078085868,,,1,False,False,False,nan,nan,right foot,True,nan
22,Örebro,away,Bobby Allain,,5,47,48.0,25.0,47,57,pass inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
23,Örebro,away,Bobby Allain,,5,47,48.0,25.0,47,57,goal kick,,,,1,False,False,False,nan,nan,nan,,nan
24,BK Häcken,home,Rasmus Lindgren,,52,75,61.0,71.0,53,56,pass inaccurate,,,0.7796409118478956,1,False,False,False,nan,nan,nan,,nan
25,Örebro,away,Johan Mårtensson,,39,29,57.0,33.0,54,57,pass inaccurate,,,0.7018619984536497,1,False,False,False,nan,nan,nan,,nan
26,BK Häcken,home,Alexander Faltsetas,Godswill Ekpolo,43,67,44.0,44.0,56,59,pass accurate,,0.0006211608286854527,0.8395556306360467,1,False,False,False,nan,nan,nan,,nan
27,BK Häcken,home,Godswill Ekpolo,Patrik Wålemark,46,41,46.0,32.0,57,60,pass accurate,,-0.00027401153327540756,0.8282601029788463,1,False,False,False,nan,nan,nan,,nan
28,Örebro,away,Jake Larsson,,55,58,,,58,61,air challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
29,Örebro,away,Jake Larsson,,55,58,,,58,61,challenge successful,,,,1,False,False,False,nan,nan,nan,,nan
30,BK Häcken,home,Godswill Ekpolo,,45,41,,,58,61,air challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
31,BK Häcken,home,Godswill Ekpolo,,45,41,,,58,61,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
32,BK Häcken,home,Patrik Wålemark,,46,29,54.0,49.0,59,62,pass inaccurate,,,0.7957123073795893,1,False,False,False,nan,nan,nan,,nan
33,Örebro,away,Dennis Collander,,46,51,,,60,65,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
34,Örebro,away,Dennis Collander,,46,51,,,60,65,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
35,Örebro,away,Dennis Collander,Johan Mårtensson,45,58,41.0,73.0,62,65,pass accurate,,-0.001991681352865614,0.8545584633831231,2,False,False,False,nan,nan,nan,,nan
36,BK Häcken,home,Godswill Ekpolo,,42,21,,,62,72,dribble unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
37,BK Häcken,home,Godswill Ekpolo,,42,22,,,63,68,interception succesful,,,,2,False,False,False,nan,nan,nan,,nan
38,BK Häcken,home,Godswill Ekpolo,,42,22,,,63,68,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
39,Örebro,away,Johan Mårtensson,,41,75,51.0,75.0,63,66,pass inaccurate,,,0.7677858259284307,2,False,False,False,nan,nan,nan,,nan
40,Örebro,away,Benjamin Hjertstrand,,30,89,,,68,73,tackle successful,,,,2,False,False,False,nan,nan,nan,,nan
41,Örebro,away,Benjamin Hjertstrand,,30,89,,,68,73,challenge unsuccessful,,,,2,False,False,False,nan,nan,nan,,nan
42,Örebro,away,Benjamin Hjertstrand,Deniz Hümmet,31,86,33.0,79.0,70,73,pass accurate,,,0.7800474631322325,2,False,False,False,nan,nan,nan,,nan
