external_id,team,player,next_player,xpos,ypos,xdest,ydest,start_time,end_time,action,xg,xt,xp,game_time,header,penalty,throw_in,attack_type,corner_outcome,foot_used,one_touch,goal_mouth
0,Degerfors IF,Victor Edvardsen,Oliver Ekroth,49,51,24.0,58.0,0,3,pass accurate,,-0.004318414712876546,0.9340328589266252,1,False,False,False,nan,nan,nan,,nan
1,Degerfors IF,Oliver Ekroth,Sebastian Ohlsson,24,59,25.0,71.0,2,5,pass accurate,,0.0009346435171379321,0.893105798035566,1,False,False,False,nan,nan,nan,,nan
2,Degerfors IF,Sebastian Ohlsson,Christos Gravius,26,71,33.0,69.0,3,6,pass accurate,,,0.8247702183341464,1,False,False,False,nan,nan,nan,,nan
3,Degerfors IF,Christos Gravius,Sebastian Ohlsson,32,72,26.0,73.0,6,9,pass accurate,,,0.9035127829345003,1,False,False,False,nan,nan,nan,,nan
4,Degerfors IF,Sebastian Ohlsson,Sean Sabetkar,28,74,29.0,21.0,8,11,pass accurate,,-0.0003338397226723567,0.8876296936161812,1,False,False,False,nan,nan,nan,,nan
5,Degerfors IF,Sean Sabetkar,Oliver Ekroth,29,22,24.0,63.0,12,15,pass accurate,,-0.0009486451251190554,0.9194268543765584,1,False,False,False,nan,nan,nan,,nan
6,Degerfors IF,Oliver Ekroth,Sebastian Ohlsson,26,62,26.0,75.0,16,19,pass accurate,,-0.001571993163333115,0.8979663731836824,1,False,False,False,nan,nan,nan,,nan
7,Degerfors IF,Sebastian Ohlsson,Sean Sabetkar,29,70,30.0,22.0,19,22,pass accurate,,-0.0003338397226723567,0.8943747940144277,1,False,False,False,nan,nan,nan,,nan
8,Degerfors IF,Sean Sabetkar,Oliver Ekroth,37,23,30.0,57.0,25,28,pass accurate,,-0.0003132403397486175,0.8927862342577859,1,False,False,False,nan,nan,nan,,nan
9,Degerfors IF,Oliver Ekroth,Sebastian Ohlsson,30,56,32.0,77.0,29,32,pass accurate,,-0.001571993163333115,0.8456385493327376,1,False,False,False,nan,nan,nan,,nan
10,Degerfors IF,Sebastian Ohlsson,Anton Kralj,42,75,72.0,93.0,32,35,pass accurate,,0.006879218777371843,0.3599163915984615,1,False,False,False,nan,nan,nan,,nan
11,Degerfors IF,Anton Kralj,,73,95,,,34,44,dribble unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
12,BK Häcken,Godswill Ekpolo,,28,8,,,35,40,tackle successful,,,,1,False,False,False,nan,nan,nan,,nan
13,BK Häcken,Godswill Ekpolo,,28,8,,,35,40,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
14,BK Häcken,Godswill Ekpolo,Bénie Adama Traore,27,9,31.0,13.0,36,39,pass accurate,,0.001348856074303859,0.7569407968634492,1,False,False,False,nan,nan,nan,,nan
15,BK Häcken,Bénie Adama Traore,Patrik Wålemark,31,11,36.0,30.0,37,40,pass accurate,,0.0033807892058522887,0.8169402209609142,1,False,False,False,nan,nan,nan,,nan
16,Degerfors IF,Christos Gravius,Anton Kralj,26,79,19.0,89.0,46,49,pass accurate,,-0.0025895409516904257,0.9400755726933793,1,False,False,False,nan,nan,nan,,nan
17,Degerfors IF,Anton Kralj,Sebastian Ohlsson,19,89,23.0,76.0,47,50,pass accurate,,0.0011837497986438555,0.9096992037226559,1,False,False,False,nan,nan,nan,,nan
18,Degerfors IF,Sebastian Ohlsson,Oliver Ekroth,22,73,8.0,58.0,49,52,pass accurate,,0.0003303668795154001,0.929054541285468,1,False,False,False,nan,nan,nan,,nan
19,Degerfors IF,Oliver Ekroth,,7,49,,,50,55,clearance inaccurate,,,,1,False,False,False,nan,nan,nan,,nan
20,BK Häcken,Kristoffer Lund Hansen,Leo Bengtsson,69,68,71.0,75.0,53,56,pass accurate,,-0.0006536310385191826,0.696911315236829,1,False,False,False,nan,nan,nan,,nan
21,BK Häcken,Leo Bengtsson,,77,82,79.0,68.0,57,60,pass inaccurate,,,0.654739989907309,1,False,False,False,nan,nan,nan,,nan
22,BK Häcken,Leo Bengtsson,,71,75,77.0,82.0,53,60,carry,,0.004899422929717897,,1,False,False,False,nan,nan,nan,,nan
23,Degerfors IF,Oliver Ekroth,,21,32,,,57,62,interception succesful,,,,1,False,False,False,nan,nan,nan,,nan
24,Degerfors IF,Oliver Ekroth,,21,32,,,57,62,challenge unsuccessful,,,,1,False,False,False,nan,nan,nan,,nan
25,Degerfors IF,Oliver Ekroth,Victor Edvardsen,26,34,56.0,6.0,59,62,pass accurate,,0.0028695506545316565,0.41858525704787775,1,False,False,False,nan,nan,nan,,nan
26,Degerfors IF,Victor Edvardsen,Nikola Djurdjic,54,5,49.0,7.0,64,67,pass accurate,,-0.0021776537504475443,0.7361764054595931,2,False,False,False,nan,nan,nan,,nan
27,Degerfors IF,Nikola Djurdjic,Victor Edvardsen,49,10,53.0,4.0,66,69,pass accurate,,0.0021776537504475443,0.8613638148953663,2,False,False,False,nan,nan,nan,,nan
28,Degerfors IF,Victor Edvardsen,Adam Carlén,54,5,43.0,26.0,67,70,pass accurate,,-0.00012992880329456766,0.8247023014329964,2,False,False,False,nan,nan,nan,,nan
29,Degerfors IF,Adam Carlén,Anton Kralj,45,30,68.0,71.0,70,73,pass accurate,,0.009836648959641415,0.5315667952568682,2,False,False,False,nan,nan,nan,,nan
30,BK Häcken,Joona Toivio,,15,34,33.0,39.0,103,106,pass inaccurate,,,0.7513388233753994,2,False,False,False,nan,nan,nan,,nan
31,Degerfors IF,Christos Gravius,Sebastian Ohlsson,67,61,39.0,89.0,104,107,pass accurate,,-0.01470351724618404,0.8713032040564721,2,False,False,False,nan,nan,nan,,nan
32,Degerfors IF,Sebastian Ohlsson,Oliver Ekroth,41,82,42.0,71.0,109,112,pass accurate,,0.0021462830164663115,0.8390057257792884,2,False,False,False,nan,nan,nan,,nan
33,Degerfors IF,Oliver Ekroth,Sebastian Ohlsson,40,69,44.0,85.0,112,115,pass accurate,,0.0006643376552684412,0.8448946847756685,2,False,False,False,nan,nan,nan,,nan
34,Degerfors IF,Sebastian Ohlsson,Oliver Ekroth,44,83,34.0,63.0,115,118,pass accurate,,-0.0006643376552684412,0.87230301542333,2,False,False,False,nan,nan,nan,,nan
35,Degerfors IF,Oliver Ekroth,Sean Sabetkar,35,52,41.0,29.0,119,122,pass accurate,,-0.00017714964063689567,0.8596680878040576,2,False,False,False,nan,nan,nan,,nan
36,Degerfors IF,Sean Sabetkar,Nikola Djurdjic,42,30,72.0,87.0,122,125,pass accurate,,0.009183017921122232,0.5603893293045957,3,False,False,False,nan,nan,nan,,nan
37,Degerfors IF,Nikola Djurdjic,,68,87,,,123,128,lost ball,,,,3,False,False,False,nan,nan,nan,,nan
